,video_id,thumnail_url,features
24,T1qjjr2V-7g,https://i.ytimg.com/vi/T1qjjr2V-7g/default.jpg,"[[[[ 0.         0.         0.        ...  0.         1.2683535
     0.       ]
   [ 0.         0.         0.        ...  0.         0.
     0.       ]
   [ 0.         0.         0.        ...  0.         0.
    14.049701 ]]

  [[ 0.         0.        28.62307   ... 31.74819    0.
    13.150642 ]
   [ 0.         0.         0.        ... 50.885757   0.
    56.518955 ]
   [ 0.         0.         0.        ... 54.473415   0.
    54.12302  ]]]]"
25,vmBv2DSbs7g,https://i.ytimg.com/vi/vmBv2DSbs7g/default.jpg,"[[[[0. 0. 0. ... 0. 0. 0.]
   [0. 0. 0. ... 0. 0. 0.]
   [0. 0. 0. ... 0. 0. 0.]]

  [[0. 0. 0. ... 0. 0. 0.]
   [0. 0. 0. ... 0. 0. 0.]
   [0. 0. 0. ... 0. 0. 0.]]]]"
26,iXhnL4oqY0s,https://i.ytimg.com/vi/iXhnL4oqY0s/default.jpg,"[[[[ 0.        0.        0.       ...  0.        0.       18.04409 ]
   [ 0.        0.        0.       ...  0.        0.       28.204323]
   [ 0.        0.        0.       ...  0.        0.        0.      ]]

  [[ 0.        0.        0.       ...  0.        0.       72.00269 ]
   [ 0.        0.        0.       ...  0.        0.       71.67339 ]
   [ 0.        0.        0.       ...  0.        0.       15.482227]]]]"
27,dk3TmkVJfyQ,https://i.ytimg.com/vi/dk3TmkVJfyQ/default.jpg,"[[[[  0.          0.          0.        ...   0.          0.
      0.       ]
   [  0.          0.          0.        ...   0.          0.
      0.       ]
   [  0.          0.          0.        ...   0.          0.
     24.72718  ]]

  [[  0.          0.          0.7504225 ...   0.          0.
      0.       ]
   [  0.          0.          0.        ...  19.531109    0.
     26.721342 ]
   [  0.          0.          0.        ...  84.439575    0.
    120.66381  ]]]]"
28,ahZFCF--uRY,https://i.ytimg.com/vi/ahZFCF--uRY/default.jpg,"[[[[ 0.        0.        0.       ...  0.       21.42517   0.      ]
   [ 0.        0.        0.       ...  0.        0.        0.      ]
   [ 0.        0.        0.       ...  0.        0.        0.      ]]

  [[ 0.        0.        0.       ... 70.434715 55.07763   0.      ]
   [ 0.        0.        0.       ... 54.65032  15.775713  0.      ]
   [ 0.        0.        0.       ...  0.        0.        0.      ]]]]"
29,3K3VdVbBOxw,https://i.ytimg.com/vi/3K3VdVbBOxw/default.jpg,"[[[[ 0.          0.          0.         ...  0.         22.492167
     0.        ]
   [ 0.          0.          0.         ...  0.          0.
     0.        ]
   [ 0.          0.          0.         ...  0.          3.550511
     0.        ]]

  [[ 5.6586313   0.          0.         ...  0.          0.29619327
    18.01003   ]
   [23.156055    0.          0.         ...  0.          0.
     0.        ]
   [ 7.726158    0.          0.         ...  0.          0.
     0.        ]]]]"
30,4i1SnSrOLek,https://i.ytimg.com/vi/4i1SnSrOLek/default.jpg,"[[[[ 0.       0.       0.      ...  0.       0.       0.     ]
   [ 0.       0.       0.      ...  0.       0.       0.     ]
   [ 0.       0.       0.      ...  0.       0.      43.89694]]

  [[ 0.       0.       0.      ...  0.       0.       0.     ]
   [ 0.       0.       0.      ...  0.       0.       0.     ]
   [ 0.       0.       0.      ...  0.       0.      99.67133]]]]"
31,6CfldD53MSg,https://i.ytimg.com/vi/6CfldD53MSg/default.jpg,"[[[[ 0.        0.        0.       ...  0.        0.        0.      ]
   [ 0.        0.        0.       ...  0.        0.        0.      ]
   [ 0.        0.        0.       ...  0.        0.        0.      ]]

  [[ 0.        0.        0.       ...  0.        0.        0.      ]
   [ 0.       18.438396  0.       ...  0.        0.        0.      ]
   [ 0.        0.        0.       ...  0.        0.        0.      ]]]]"
32,iA9F3pfoVXY,https://i.ytimg.com/vi/iA9F3pfoVXY/default.jpg,"[[[[ 0.        0.        0.       ...  0.        0.        0.      ]
   [ 0.        0.        0.       ...  0.        0.        9.928933]
   [ 0.        0.        0.       ...  0.        0.       19.812717]]

  [[ 0.        0.        0.       ...  0.        0.        0.      ]
   [ 0.        0.        0.       ...  0.        0.       24.56456 ]
   [ 0.        0.        0.       ...  0.        0.       12.931674]]]]"
33,mnK70buMRlc,https://i.ytimg.com/vi/mnK70buMRlc/default.jpg,"[[[[ 0.        0.        0.       ...  0.        0.        9.78564 ]
   [ 0.        0.        0.       ...  0.        0.        3.080317]
   [ 0.        0.        0.       ...  0.        0.       14.12655 ]]

  [[ 0.        0.        0.       ...  0.        0.       60.076725]
   [ 0.        0.       41.136932 ...  0.        0.       77.02883 ]
   [ 0.        0.       43.057713 ...  0.        0.       46.94853 ]]]]"
34,H47tHuw--mo,https://i.ytimg.com/vi/H47tHuw--mo/default.jpg,"[[[[  0.         0.         0.       ...   0.         0.
    123.631996]
   [  0.         0.         0.       ...   0.         0.
    118.6445  ]
   [  0.         0.         0.       ...   0.         0.
     86.52367 ]]

  [[  0.         0.         0.       ...   0.         0.
    172.61182 ]
   [  0.         0.         0.       ...   0.         0.
    161.4527  ]
   [  0.         0.         0.       ...   0.         0.
    168.63673 ]]]]"
